"TOA5","LTAR_BoydSouth","CR3000","6034","CR3000.Std.31.03","CPU:DEFAULT.cr3","28444","Flux"
"TIMESTAMP","RECORD","old_L","old_u_star","old_Fc_wpl","old_Fc_hf_wpl","old_LE_wpl","old_Hc","old_Uz_Std","old_CO2_mg_m3_Avg","old_CO2_mg_m3_Std","old_CO2_hf_mg_m3_Avg","old_CO2_hf_mg_m3_Std","old_Tc_Avg","old_amb_press_Avg","Fc_molar","Fc_mass","Fc_qc_grade","Fc_samples_Tot","LE","LE_qc_grade","LE_samples_Tot","H","H_qc_grade","H_samples_Tot","Rn","G_surface","energy_closure","Bowen_ratio","tau","tau_qc_grade","u_star","T_star","TKE","amb_tmpr_Avg","Td_Avg","RH_Avg","e_sat_Avg","e_Avg","amb_press_Avg","VPD_air","Ux_Avg","Ux_Std","Uy_Avg","Uy_Std","Uz_Avg","Uz_Std","Ts_Avg","Ts_Std","sonic_azimuth","wnd_spd","rslt_wnd_spd","wnd_dir_sonic","std_wnd_dir","wnd_dir_compass","CO2_molfrac_Avg","CO2_mixratio_Avg","CO2_Avg","CO2_Std","H2O_molfrac_Avg","H2O_mixratio_Avg","H2O_Avg","H2O_Std","CO2_sig_strgth_Min","H2O_sig_strgth_Min","T_probe_Avg","e_probe_Avg","e_sat_probe_Avg","Td_probe_Avg","H2O_probe_Avg","RH_probe_Avg","rho_a_probe_Avg","rho_d_probe_Avg","Precipitation_Tot","Rn_meas_Avg","NRLITE_SENS","PAR_density_Avg","QUANTUM_SENS","cupvane_WS_Avg","cupvane_WS_rslt_Avg","cupvane_WD_rslt_Avg","cupvane_WD_csi_Std","Tsoil_Avg","tdr315_wc_Avg(1)","tdr315_wc_Avg(2)","tdr315_tmpr_Avg(1)","tdr315_tmpr_Avg(2)","tdr315_E_Avg(1)","tdr315_E_Avg(2)","tdr315_bulkEC_Avg(1)","tdr315_bulkEC_Avg(2)","tdr315_poreEC_Avg(1)","tdr315_poreEC_Avg(2)","shf_plate_avg","SHFP_1_SENS","profile_tdr315_wc_Avg(1)","profile_tdr315_wc_Avg(2)","profile_tdr315_wc_Avg(3)","profile_tdr315_wc_Avg(4)","profile_tdr315_wc_Avg(5)","profile_tdr315_wc_Avg(6)","profile_tdr315_tmpr_Avg(1)","profile_tdr315_tmpr_Avg(2)","profile_tdr315_tmpr_Avg(3)","profile_tdr315_tmpr_Avg(4)","profile_tdr315_tmpr_Avg(5)","profile_tdr315_tmpr_Avg(6)","profile_tdr315_E_Avg(1)","profile_tdr315_E_Avg(2)","profile_tdr315_E_Avg(3)","profile_tdr315_E_Avg(4)","profile_tdr315_E_Avg(5)","profile_tdr315_E_Avg(6)","profile_tdr315_bulkEC_Avg(1)","profile_tdr315_bulkEC_Avg(2)","profile_tdr315_bulkEC_Avg(3)","profile_tdr315_bulkEC_Avg(4)","profile_tdr315_bulkEC_Avg(5)","profile_tdr315_bulkEC_Avg(6)","profile_tdr315_poreEC_Avg(1)","profile_tdr315_poreEC_Avg(2)","profile_tdr315_poreEC_Avg(3)","profile_tdr315_poreEC_Avg(4)","profile_tdr315_poreEC_Avg(5)","profile_tdr315_poreEC_Avg(6)","upwnd_dist_intrst","FP_dist_intrst","FP_max","FP_40","FP_55","FP_90","FP_Equation","UxUy_Cov","UxUz_Cov","UyUz_Cov","TsUx_Cov","TsUy_Cov","TsUz_Cov","u_star_R","u_Avg_R","u_Std_R","v_Avg_R","v_Std_R","w_Avg_R","w_Std_R","uv_Cov_R","uw_Cov_R","vw_Cov_R","uTs_Cov_R","vTs_Cov_R","wTs_Cov_R","uw_Cov_R_F","vw_Cov_R_F","wTs_Cov_R_F","wTs_Cov_R_F_SND","sonic_samples_Tot","no_sonic_head_Tot","no_new_sonic_data_Tot","sonic_amp_l_f_Tot","sonic_amp_h_f_Tot","sonic_sig_lck_f_Tot","sonic_del_T_f_Tot","sonic_aq_sig_f_Tot","sonic_cal_err_f_Tot","UxCO2_Cov","UyCO2_Cov","UzCO2_Cov","UxH2O_Cov","UyH2O_Cov","UzH2O_Cov","uCO2_Cov_R","vCO2_Cov_R","wCO2_Cov_R","uH2O_Cov_R","vH2O_Cov_R","wH2O_Cov_R","wCO2_Cov_R_F","wH2O_Cov_R_F","CO2_E_WPL_R_F","CO2_T_WPL_R_F","H2O_E_WPL_R_F","H2O_T_WPL_R_F","CO2_samples_Tot","H2O_samples_Tot","no_irga_head_Tot","no_new_irga_data_Tot","irga_bad_data_f_Tot","irga_gen_fault_f_Tot","irga_startup_f_Tot","irga_motor_spd_f_Tot","irga_tec_tmpr_f_Tot","irga_src_pwr_f_Tot","irga_src_tmpr_f_Tot","irga_src_curr_f_Tot","irga_off_f_Tot","irga_sync_f_Tot","irga_amb_tmpr_f_Tot","irga_amb_press_f_Tot","irga_CO2_I_f_Tot","irga_CO2_Io_f_Tot","irga_H2O_I_f_Tot","irga_H2O_Io_f_Tot","irga_CO2_Io_var_f_Tot","irga_H2O_Io_var_f_Tot","irga_CO2_sig_strgth_f_Tot","irga_H2O_sig_strgth_f_Tot","irga_cal_err_f_Tot","irga_htr_ctrl_off_f_Tot","alpha","beta","gamma","height_measurement","height_canopy","surface_type_text","displacement_user","d","roughness_user","z0","z","L","stability_zL","iteration_FreqFactor","latitude","longitude","separation_x_irga","separation_y_irga","separation_lat_dist_irga","separation_lag_dist_irga","separation_lag_scan_irga","MAX_LAG","lag_irga","FreqFactor_uw_vw","FreqFactor_wTs","FreqFactor_wCO2_wH2O","rho_d_Avg","rho_a_Avg","Cp","Lv","door_is_open_Hst","panel_tmpr_Avg","batt_volt_Avg","slowsequence_Tot","process_time_Avg","process_time_Max","buff_depth_Max"
"TS","RN","m","m/s","mg/(m^2 s)","mg/(m^2 s)","W/m^2","W/m^2","m/s","mg/m^3","mg/m^3","","mg/m^3","C","kPa","umol/(m^2 s)","mg/(m^2 s)","Grade","samples","W/m^2","Grade","samples","W/m^2","Grade","samples","W/m^2","W/m^2","Fraction","fraction","(kg m/s)/(m^2 s)","Grade","m/s","C","m^2/s^2","C","C","%","kPa","kPa","kPa","kpa","m/s","m/s","m/s","m/s","m/s","m/s","C","C","degrees","m/s","m/s","degrees","degrees","degrees","umol/mol","umol/mol","mg/m^3","mg/m^3","mmol/mol","mmol/mol","g/m^3","g/m^3","fraction","fraction","C","kPa","kPa","C","g/m^3","%","kg/m^3","kg/m^3","mm","W/m^2","uV/W/m^2","umol/(s m^2)","uA/mmol/m^2/s","m/s","m/s","degrees","degrees","C","%","%","C","C","unitless","unitless","uS/cm","uS/cm","uS/cm","uS/cm","W/m^2","uv/W/m^2","%","%","%","%","%","%","C","C","C","C","C","C","unitless","unitless","unitless","unitless","unitless","unitless","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","m","%","m","m","m","m","authors","(m/s)^2","(m/s)^2","(m/s)^2","C m/s","C m/s","C m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","(m/s)^2","(m/s)^2","(m/s)^2","C m/s","C m/s","C m/s","(m/s)^2","(m/s)^2","C m/s","C m/s","samples","samples","samples","samples","samples","samples","samples","samples","samples","mg/(m^2 s)","mg/(m^2 s)","mg/(m^2 s)","g/(m^2 s)","g/(m^2 s)","g/(m^2 s)","mg/(m^2 s)","mg/(m^2 s)","mg/(m^2 s)","g/(m^2 s)","g/(m^2 s)","g/(m^2 s)","mg/(m^2 s)","g/(m^2 s)","mg/(m^2 s)","mg/(m^2 s)","g/(m^2 s)","g/(m^2 s)","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","degrees","degrees","degrees","m","m","","m","m","m","m","m","m","unitless","","degrees","degrees","m","m","m","m","scans","","scans","unitless","unitless","unitless","kg/m^3","kg/m^3","J/(kg C)","J/g","","C","V","samples","ms","ms","scans"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Avg","Smp","Smp","Min","Min","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Tot","Avg","Smp","Avg","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Hst,1,1.0000e+00,5.0000e-01,1.5000e+00","Avg","Avg","Tot","Avg","Max","Max"
"2018-05-29 02:30:00",358,33.25202,0.1970718,0.05196827,0.04135882,10.95911,-1.511212,0.3878936,687.136,2.134761,692.7741,2.042282,11.58109,92.74978,1.130503,0.04975285,1,18000,13.24297,1,18000,-25.11175,1,18000,-66.58276,-25.06586,0.2858783,-1.896233,0.1140622,1,0.3175926,0.06924518,0.9661152,11.58109,5.423317,65.86935,1.369566,0.9020774,92.74978,0.4674891,1.634501,0.8739032,-3.197296,1.008991,0.3098721,0.3878936,12.39674,0.2584668,213,3.71106,3.590868,297.0767,14.57719,275.9233,398.5098,402.427,687.136,2.134761,9.723721,9.819371,6.864985,0.08636256,0.9262493,0.9066195,11.48512,1.343138,1.360901,11.28706,10.22503,98.69471,1.129179,1.118954,0,-66.52344,10.87,0.03690852,5.8,3.416,3.308,258.3,9.22,17.58842,20.19889,"NAN",19.28444,19.28444,10.67444,10.67444,94.75,94.75,1135.467,1135.467,-25.06586,61.47,29.04,32.39778,"NAN","NAN","NAN","NAN",19.91889,18.7,18.7,18.7,18.7,18.7,15.95611,18.36889,18.36889,18.36889,18.36889,18.36889,196.0722,260.2333,260.2333,260.2333,260.2333,260.2333,1311.383,1448.533,1448.533,1448.533,1448.533,1448.533,212.6379,99.01759,33.26613,36.03953,47.66516,93.95043,"Kljun et al",0.07664381,-0.0290179,0.02581276,0.07774706,-0.01856854,-0.01671878,0.3164582,3.604208,0.9441773,0,0.9373013,0,0.4027728,-0.1486359,-0.1001372,-0.001313813,0.05029289,0.06077372,-0.02112092,-0.1008564,-0.001323249,-0.0213067,-0.02199176,18000,0,0,0,0,0,0,0,0,-0.7716328,0.1648413,0.05080593,-0.006823279,0.01112854,0.004479825,-0.4917966,-0.6120271,0.09343414,-0.01258133,-0.001009906,0.005582176,0.09761336,0.005831861,0.005733021,-0.05359353,5.727703E-05,-0.0005354381,18000,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.932098,0,297.0767,2.2,0.1,"Crop",0,0.07362071,0,0.02062497,2.126379,106.7381,0.01992147,2,41.766,111.855,0.04066,0.02905,0.04942665,-0.007358303,-0.02049171,2,0,1.007182,1.008796,1.044729,1.123974,1.130839,1009.755,2473.611,0,14.42149,13.2186,180,92.39722,11373.99,113
"2018-05-29 03:00:00",359,81.67113,0.2441515,0.02018929,0.01138032,8.850312,1.496544,0.3915774,685.3564,2.611865,690.7625,2.574167,11.09034,92.73779,1.679703,0.07392286,1,18000,9.76506,2,18000,-26.41867,1,18000,-64.21753,-25.66935,0.4320207,-2.705428,0.1300719,1,0.3388875,0.06816066,1.158025,11.09034,5.612909,68.95094,1.325669,0.9140128,92.73779,0.4116559,2.453211,1.109205,-2.701201,0.9655989,0.3688292,0.3915774,11.93764,0.1898084,213,3.828388,3.648934,312.2455,17.53697,260.7545,396.844,400.7977,685.3564,2.611865,9.85371,9.951882,6.967868,0.0746666,0.9255553,0.9062517,10.96666,1.322308,1.314821,11.05227,10.08484,100.5694,1.131189,1.121104,0,-64.15578,10.87,0.06011511,5.8,3.6,3.442,245.1,11.22,17.2957,20.21722,"NAN",18.99222,18.99222,10.68056,10.68056,94.1,94.1,1126.656,1126.656,-25.66935,61.47,29.04611,32.39444,"NAN","NAN","NAN","NAN",19.76333,18.7,18.7,18.7,18.7,18.7,15.95889,18.36611,18.36611,18.36611,18.36611,18.36611,195.0333,260.0945,260.0945,260.0945,260.0945,260.0945,1304.189,1447.972,1447.972,1447.972,1447.972,1447.972,212.6379,99.08162,33.40233,36.1674,47.82993,94.1618,"Kljun et al",0.258481,-0.003867507,0.05948437,0.06229293,-0.07163537,-0.01292139,0.3376981,3.667529,0.8909539,0,1.163163,5.960464E-08,0.4114656,0.1265833,-0.111372,0.02452322,0.09312904,-0.002047494,-0.02240058,-0.112158,0.02469627,-0.02259545,-0.0230988,18000,0,0,0,0,0,0,0,0,-1.837878,-0.2316522,0.01350182,0.02453107,0.03224634,0.003559187,-1.057384,-1.516268,0.1204494,-0.00698321,0.03983914,0.004283175,0.1257932,0.004473198,0.00437958,-0.0562499,4.452622E-05,-0.0005718803,18000,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.77177,0,312.2455,2.2,0.1,"Crop",0,0.07362071,0,0.02572714,2.126379,122.0875,0.01741685,2,41.766,111.855,0.04066,0.02905,0.04962998,0.005831234,0.01598065,2,0,1.007057,1.008699,1.044365,1.125621,1.132589,1009.832,2474.771,0,13.7201,13.23428,180,92.41583,11425.48,114
