"TOA5","LTAR_CookEast","CR3000","6503","CR3000.Std.31.09","CPU:default.cr3","64331","LTAR_Met"
"TIMESTAMP","RECORD","amb_tmpr_Avg","rslt_wnd_spd","wnd_dir_compass","RH_Avg","Precipitation_Tot","amb_press_Avg","PAR_density_Avg","batt_volt_Avg","panel_tmpr_Avg","std_wnd_dir","VPD_air","Rn_meas_Avg","e_sat","e","tdr31X_wc_Avg","tdr31X_tmpr_Avg","tdr31X_E_Avg","tdr31X_bulkEC_Avg","tdr31X_poreEC_Avg","Tsoil_Avg","profile_tdr31X_wc_Avg(1)","profile_tdr31X_wc_Avg(2)","profile_tdr31X_wc_Avg(3)","profile_tdr31X_wc_Avg(4)","profile_tdr31X_wc_Avg(5)","profile_tdr31X_wc_Avg(6)","profile_tdr31X_tmpr_Avg(1)","profile_tdr31X_tmpr_Avg(2)","profile_tdr31X_tmpr_Avg(3)","profile_tdr31X_tmpr_Avg(4)","profile_tdr31X_tmpr_Avg(5)","profile_tdr31X_tmpr_Avg(6)","profile_tdr31X_E_Avg(1)","profile_tdr31X_E_Avg(2)","profile_tdr31X_E_Avg(3)","profile_tdr31X_E_Avg(4)","profile_tdr31X_E_Avg(5)","profile_tdr31X_E_Avg(6)","profile_tdr31X_bulkEC_Avg(1)","profile_tdr31X_bulkEC_Avg(2)","profile_tdr31X_bulkEC_Avg(3)","profile_tdr31X_bulkEC_Avg(4)","profile_tdr31X_bulkEC_Avg(5)","profile_tdr31X_bulkEC_Avg(6)","profile_tdr31X_poreEC_Avg(1)","profile_tdr31X_poreEC_Avg(2)","profile_tdr31X_poreEC_Avg(3)","profile_tdr31X_poreEC_Avg(4)","profile_tdr31X_poreEC_Avg(5)","profile_tdr31X_poreEC_Avg(6)","shf_plate_avg","SHFP_1_SENS"
"TS","RN","C","m/s","degrees","%","mm","kPa","umol/(s m^2)","V","C","degrees","kpa","W/m^2","kPa","kPa","%","C","unitless","uS/cm","uS/cm","C","%","%","%","%","%","%","C","C","C","C","C","C","unitless","unitless","unitless","unitless","unitless","unitless","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","W/m^2","uv/W/m^2"
"","","Avg","Smp","Smp","Avg","Tot","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp"
"2018-06-27 13:15:00",210,22.96937,1.598681,284.8,27.75771,0,92.84725,1806.077,13.56527,27.82141,30.24,2.033644,612.901,2.815406,0.7817625,"NAN",27.29888,6.797206,121.3464,3491.408,23.89827,"NAN",18.43333,"NAN",34.7,35.66666,"NAN",27.7,18.23333,18.23333,14.8,13.9,13.9,6.5,9.8,9.8,20.13333,20.93333,20.93333,109.3333,152,152,637.6667,755.3333,755.3333,3498.667,2096,2096,3162,3568.667,3568.667,104.54,61.47
