"TOA5","LTAR_CookWest","CR3000","6505","CR3000.Std.31.09","CPU:default.cr3","28444","Flux"
"TIMESTAMP","RECORD","old_L","old_u_star","old_Fc_wpl","old_Fc_hf_wpl","old_LE_wpl","old_Hc","old_Uz_Std","old_CO2_mg_m3_Avg","old_CO2_mg_m3_Std","old_CO2_hf_mg_m3_Avg","old_CO2_hf_mg_m3_Std","old_Tc_Avg","old_amb_press_Avg","Fc_molar","Fc_mass","Fc_qc_grade","Fc_samples_Tot","LE","LE_qc_grade","LE_samples_Tot","H","H_qc_grade","H_samples_Tot","Rn","G_surface","energy_closure","Bowen_ratio","tau","tau_qc_grade","u_star","T_star","TKE","amb_tmpr_Avg","Td_Avg","RH_Avg","e_sat_Avg","e_Avg","amb_press_Avg","VPD_air","Ux_Avg","Ux_Std","Uy_Avg","Uy_Std","Uz_Avg","Uz_Std","Ts_Avg","Ts_Std","sonic_azimuth","wnd_spd","rslt_wnd_spd","wnd_dir_sonic","std_wnd_dir","wnd_dir_compass","CO2_molfrac_Avg","CO2_mixratio_Avg","CO2_Avg","CO2_Std","H2O_molfrac_Avg","H2O_mixratio_Avg","H2O_Avg","H2O_Std","CO2_sig_strgth_Min","H2O_sig_strgth_Min","T_probe_Avg","e_probe_Avg","e_sat_probe_Avg","Td_probe_Avg","H2O_probe_Avg","RH_probe_Avg","rho_a_probe_Avg","rho_d_probe_Avg","Precipitation_Tot","Rn_meas_Avg","NRLITE_SENS","PAR_density_Avg","QUANTUM_SENS","cupvane_WS_Avg","cupvane_WS_rslt_Avg","cupvane_WD_rslt_Avg","cupvane_WD_csi_Std","Tsoil_Avg","tdr315_wc_Avg(1)","tdr315_wc_Avg(2)","tdr315_tmpr_Avg(1)","tdr315_tmpr_Avg(2)","tdr315_E_Avg(1)","tdr315_E_Avg(2)","tdr315_bulkEC_Avg(1)","tdr315_bulkEC_Avg(2)","tdr315_poreEC_Avg(1)","tdr315_poreEC_Avg(2)","shf_plate_avg","SHFP_1_SENS","profile_tdr315_wc_Avg(1)","profile_tdr315_wc_Avg(2)","profile_tdr315_wc_Avg(3)","profile_tdr315_wc_Avg(4)","profile_tdr315_wc_Avg(5)","profile_tdr315_wc_Avg(6)","profile_tdr315_tmpr_Avg(1)","profile_tdr315_tmpr_Avg(2)","profile_tdr315_tmpr_Avg(3)","profile_tdr315_tmpr_Avg(4)","profile_tdr315_tmpr_Avg(5)","profile_tdr315_tmpr_Avg(6)","profile_tdr315_E_Avg(1)","profile_tdr315_E_Avg(2)","profile_tdr315_E_Avg(3)","profile_tdr315_E_Avg(4)","profile_tdr315_E_Avg(5)","profile_tdr315_E_Avg(6)","profile_tdr315_bulkEC_Avg(1)","profile_tdr315_bulkEC_Avg(2)","profile_tdr315_bulkEC_Avg(3)","profile_tdr315_bulkEC_Avg(4)","profile_tdr315_bulkEC_Avg(5)","profile_tdr315_bulkEC_Avg(6)","profile_tdr315_poreEC_Avg(1)","profile_tdr315_poreEC_Avg(2)","profile_tdr315_poreEC_Avg(3)","profile_tdr315_poreEC_Avg(4)","profile_tdr315_poreEC_Avg(5)","profile_tdr315_poreEC_Avg(6)","upwnd_dist_intrst","FP_dist_intrst","FP_max","FP_40","FP_55","FP_90","FP_Equation","UxUy_Cov","UxUz_Cov","UyUz_Cov","TsUx_Cov","TsUy_Cov","TsUz_Cov","u_star_R","u_Avg_R","u_Std_R","v_Avg_R","v_Std_R","w_Avg_R","w_Std_R","uv_Cov_R","uw_Cov_R","vw_Cov_R","uTs_Cov_R","vTs_Cov_R","wTs_Cov_R","uw_Cov_R_F","vw_Cov_R_F","wTs_Cov_R_F","wTs_Cov_R_F_SND","sonic_samples_Tot","no_sonic_head_Tot","no_new_sonic_data_Tot","sonic_amp_l_f_Tot","sonic_amp_h_f_Tot","sonic_sig_lck_f_Tot","sonic_del_T_f_Tot","sonic_aq_sig_f_Tot","sonic_cal_err_f_Tot","UxCO2_Cov","UyCO2_Cov","UzCO2_Cov","UxH2O_Cov","UyH2O_Cov","UzH2O_Cov","uCO2_Cov_R","vCO2_Cov_R","wCO2_Cov_R","uH2O_Cov_R","vH2O_Cov_R","wH2O_Cov_R","wCO2_Cov_R_F","wH2O_Cov_R_F","CO2_E_WPL_R_F","CO2_T_WPL_R_F","H2O_E_WPL_R_F","H2O_T_WPL_R_F","CO2_samples_Tot","H2O_samples_Tot","no_irga_head_Tot","no_new_irga_data_Tot","irga_bad_data_f_Tot","irga_gen_fault_f_Tot","irga_startup_f_Tot","irga_motor_spd_f_Tot","irga_tec_tmpr_f_Tot","irga_src_pwr_f_Tot","irga_src_tmpr_f_Tot","irga_src_curr_f_Tot","irga_off_f_Tot","irga_sync_f_Tot","irga_amb_tmpr_f_Tot","irga_amb_press_f_Tot","irga_CO2_I_f_Tot","irga_CO2_Io_f_Tot","irga_H2O_I_f_Tot","irga_H2O_Io_f_Tot","irga_CO2_Io_var_f_Tot","irga_H2O_Io_var_f_Tot","irga_CO2_sig_strgth_f_Tot","irga_H2O_sig_strgth_f_Tot","irga_cal_err_f_Tot","irga_htr_ctrl_off_f_Tot","alpha","beta","gamma","height_measurement","height_canopy","surface_type_text","displacement_user","d","roughness_user","z0","z","L","stability_zL","iteration_FreqFactor","latitude","longitude","separation_x_irga","separation_y_irga","separation_lat_dist_irga","separation_lag_dist_irga","separation_lag_scan_irga","MAX_LAG","lag_irga","FreqFactor_uw_vw","FreqFactor_wTs","FreqFactor_wCO2_wH2O","rho_d_Avg","rho_a_Avg","Cp","Lv","door_is_open_Hst","panel_tmpr_Avg","batt_volt_Avg","slowsequence_Tot","process_time_Avg","process_time_Max","buff_depth_Max"
"TS","RN","m","m/s","mg/(m^2 s)","mg/(m^2 s)","W/m^2","W/m^2","m/s","mg/m^3","mg/m^3","","mg/m^3","C","kPa","umol/(m^2 s)","mg/(m^2 s)","Grade","samples","W/m^2","Grade","samples","W/m^2","Grade","samples","W/m^2","W/m^2","Fraction","fraction","(kg m/s)/(m^2 s)","Grade","m/s","C","m^2/s^2","C","C","%","kPa","kPa","kPa","kpa","m/s","m/s","m/s","m/s","m/s","m/s","C","C","degrees","m/s","m/s","degrees","degrees","degrees","umol/mol","umol/mol","mg/m^3","mg/m^3","mmol/mol","mmol/mol","g/m^3","g/m^3","fraction","fraction","C","kPa","kPa","C","g/m^3","%","kg/m^3","kg/m^3","mm","W/m^2","uV/W/m^2","umol/(s m^2)","uA/mmol/m^2/s","m/s","m/s","degrees","degrees","C","%","%","C","C","unitless","unitless","uS/cm","uS/cm","uS/cm","uS/cm","W/m^2","uv/W/m^2","%","%","%","%","%","%","C","C","C","C","C","C","unitless","unitless","unitless","unitless","unitless","unitless","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","uS/cm","m","%","m","m","m","m","authors","(m/s)^2","(m/s)^2","(m/s)^2","C m/s","C m/s","C m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","(m/s)^2","(m/s)^2","(m/s)^2","C m/s","C m/s","C m/s","(m/s)^2","(m/s)^2","C m/s","C m/s","samples","samples","samples","samples","samples","samples","samples","samples","samples","mg/(m^2 s)","mg/(m^2 s)","mg/(m^2 s)","g/(m^2 s)","g/(m^2 s)","g/(m^2 s)","mg/(m^2 s)","mg/(m^2 s)","mg/(m^2 s)","g/(m^2 s)","g/(m^2 s)","g/(m^2 s)","mg/(m^2 s)","g/(m^2 s)","mg/(m^2 s)","mg/(m^2 s)","g/(m^2 s)","g/(m^2 s)","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","degrees","degrees","degrees","m","m","","m","m","m","m","m","m","unitless","","degrees","degrees","m","m","m","m","scans","","scans","unitless","unitless","unitless","kg/m^3","kg/m^3","J/(kg C)","J/g","","C","V","samples","ms","ms","scans"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Avg","Smp","Smp","Min","Min","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Tot","Avg","Smp","Avg","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Hst,1,1.0000e+00,5.0000e-01,1.5000e+00","Avg","Avg","Tot","Avg","Max","Max"
"2018-05-28 18:30:00",1552,166.1434,0.2012933,0.05142081,0.04955261,22.73978,3.063711,0.260191,602.4824,1.365828,609.1533,1.26794,22.41883,93.33543,0.7420253,0.03265616,8,18000,19.14373,8,18000,-2.772269,8,18000,-24.77444,14.11972,-0.4209233,-0.1448134,0.0383435,3,0.1869549,0.01340109,0.4210507,22.41883,2.477369,26.97437,2.723336,0.7337881,93.33543,1.989548,-0.1081182,0.4294748,-2.43764,0.7680842,-0.02709945,0.260191,22.84744,0.3696281,169,2.474423,2.440034,267.4604,9.548954,261.5396,360.4382,363.2963,602.4824,1.365828,7.860413,7.922564,5.379755,0.2425539,0.889079,0.7918693,25.56153,1.424365,3.289239,12.17284,10.33242,43.30378,1.082441,1.072108,0,-24.77444,10.43,301.5967,6,2.258,2.223,240.5,5.215,438.9623,14.05278,"NAN",26.78722,26.78722,7.638333,7.638333,113.2667,113.2667,2496.828,2496.828,14.11972,61.47,30.155,30.96055,"NAN","NAN","NAN","NAN",24.2,19.56555,19.56555,19.56555,19.56555,19.56555,16.70111,17.26,17.26,17.26,17.26,17.26,236.0278,323.6056,323.6056,323.6056,323.6056,323.6056,1486.244,1951.789,1951.789,1951.789,1951.789,1951.789,231.6379,95.63766,4.775572,10.78503,17.22538,96.61475,"KormannMeixner",0.03499129,0.006524608,0.03999023,-0.003561229,-0.2051298,-0.003701497,0.1862946,2.440187,0.7701195,0,0.4267867,1.862645E-09,0.258593,-0.01695533,-0.03440505,0.004558221,0.2051146,0.005531547,-0.001423688,-0.03464935,0.004590586,-0.001435059,-0.0025054,18000,0,0,0,0,0,0,0,0,-0.007916778,0.6965231,0.03754882,0.008570608,0.1490084,0.009195713,-0.6958623,-0.03877185,0.02982277,-0.1493347,0.001959648,0.007537744,0.03087752,0.007804334,0.006926073,-0.005147434,6.184507E-05,-4.596305E-05,18000,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6363102,0,267.4604,2.39,0.1,"Crop",0,0.07362071,0,0.01791434,2.316379,335.1008,0.006912485,2,46.7815,117.082,0.04066,0.02905,0.03933286,-0.03082311,-0.1263224,2,0,1.0071,1.007987,1.035367,1.09165,1.097029,1008.649,2447.979,0,26.91246,12.98536,180,92.01905,7750.099,77
"2018-05-28 19:00:00",1553,6.632429,0.08314873,0.07602272,0.07414183,3.956989,-1.175927,0.1259963,608.7623,3.993411,615.0959,3.925373,21.09676,93.32311,1.450399,0.06383132,9,18000,4.039841,9,18000,-6.464714,9,18000,-63.09913,4.973138,0.03562203,-1.60024,0.006382871,9,0.07612289,0.07640405,0.06982129,21.09676,3.775834,32.02043,2.513301,0.8039401,93.32311,1.709361,-0.08777411,0.2235675,-0.9121783,0.2716341,-0.02174747,0.1259963,21.52448,0.462671,169,0.9437284,0.9163895,264.5037,13.78643,264.4963,362.614,365.7633,608.7623,3.993411,8.612453,8.687603,5.920161,0.110617,0.8893248,0.8039867,24.16852,1.516133,3.027655,13.12744,11.04964,50.07615,1.086961,1.075912,0,-63.09913,10.43,133.605,6,0.775,0.753,243.3,4.11,406.3762,13.89333,"NAN",26.14111,26.14111,7.566111,7.566111,112.5222,112.5222,2529.661,2529.661,4.973138,61.47,30.14944,30.93944,"NAN","NAN","NAN","NAN",24.13444,19.69278,19.69278,19.69222,19.69222,19.69222,16.69722,17.25111,17.25111,17.25167,17.25167,17.25167,236,324.0167,324.0167,324.0167,324.0167,324.0167,1486.506,1955.556,1955.556,1955.472,1955.472,1955.472,231.6379,96.78654,1.025682,4.10332,7.485493,49.30616,"KormannMeixner",-0.004189565,-0.00291691,0.006268255,0.02580374,-0.04568899,-0.006506085,0.07546271,0.9166496,0.2702194,0,0.2258311,-1.862645E-09,0.1249975,0.006463413,-0.004603941,-0.003351484,0.04314964,0.03006129,-0.005483906,-0.004684847,-0.003410381,-0.00559253,-0.005816097,18000,0,0,0,0,0,0,0,0,-0.2564682,0.3634359,0.07678461,0.003575641,9.780563E-05,0.001629126,-0.3389266,-0.2900997,0.06876295,-0.0004783653,0.003549833,0.001618233,0.0744042,0.001750991,0.001564504,-0.01213738,1.521467E-05,-0.000118035,18000,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.359467,0,264.5037,2.39,0.1,"Crop",0,0.07362071,0,0.01791434,2.316379,5.778662,0.4008504,2,46.7815,117.082,0.04066,0.02905,0.03769059,-0.03281094,-0.3580457,2,0,1.017573,1.019808,1.082039,1.095582,1.101503,1009.095,2451.106,0,25.86112,13.00119,180,92.04032,11772.41,117
